ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,LASTUPDATEDDATE,POSTALCODE,RECAREAADDRESSID,RECAREAADDRESSTYPE,RECAREAID,RECAREASTREETADDRESS1,RECAREASTREETADDRESS2,RECAREASTREETADDRESS3
"USA","CA","Near Yuba City","2007-03-06","","2373","","2258","Oswald Rd and Hughes Rd","",""
"USA","AZ","Safford","2004-07-08","85546-3321","2375","","2266","Safford Field Office","711 14th Avenue",""
"USA","AZ","Safford","2011-08-10","85546-3321","2376","","2268","Safford Field Office","711 14th Avenue",""
"USA","AZ","Safford","2004-07-08","85546-3321","2377","","2272","Safford Field Office","711 14th Avenue",""
"USA","AZ","Safford","2004-07-08","85546","2380","","2276","Safford Field Office","711 14th Avenue",""
"USA","AZ","Safford","2010-09-22","85546","2381","","2278","Safford Field Office","711 14th Avenue",""
"USA","OR","Astoria","2004-07-09","97103-9197","2545","","2687","92343 Fort Clatsop Rd","",""
"USA","DC","Washington","2011-04-26","20020","2619","","2833","1900 Anacostia Dr., SE","",""
"USA","DC","Washington","2004-07-09","20024-2000","2640","","2868","National Capital Parks-Central","900 Ohio Dr, SW",""
"USA","DC","Washington","2011-04-26","20024","2642","","2870","Superintendent","900 Ohio Drive, SW",""
"USA","AK","Kotzebue","2004-07-09","99752","2646","","2876","National Park Service","PO Box 1029",""
"USA","VA","Yorktown","2004-07-09","23690","2715","","2989","Colonial National Historical Park","P.O. Box 210",""
"USA","NY","New York","2011-04-26","10005","2735","","3106","Superintendent, Manhattan Sites","26 Wall Street",""
"USA","UT","St. George","2011-08-03","84790-9000","2736","","3108","St. George Field Office","345 E. Riverside Drive",""
"USA","AZ","Tucson","2012-04-16"," 85546","2737","","3109","Tucson Field Office","3201 East Universal Way",""
"USA","CO","Dolores","2011-07-27","81323","2740","","3114","Anasazi Heritage Center","27501 Highway 184",""
"USA","UT","Kanab","2011-08-03","84741","2743","","3120"," Grand Staircase-Escalante National Monument","190 E. Center Street",""
"USA","NM","Albuquerque","2004-07-08","87107","2745","","3124","Albuquerque Field Office","435 Montano Road NE",""
"USA","CA","Arcata","2004-07-08","95521-4573","2746","","3126","Arcata Field Office","1695 Heindon Road",""
"USA","MD","Solomons","2004-07-09","20629","2753","","3144","13480 Dowell Road","P.O. Box 99",""
"USA","AZ","Tucson","2004-07-09","85743-8918","2754","","3149","2021 North Kinney Road","",""
"USA","CO","Commerce City","2007-03-06","80022","2755","","3266","7200 Quebec Street Bldg 121","",""
"USA","NV","Ruby Valley","2007-03-06","89833","2762","","3920","HC 60 Box 860","",""
"USA","MN","Erskine","2007-03-06","56535","2763","","3921","17788 349th St. SE (Polk County 210)","",""
"USA","MN","Odessa","2007-03-06","56276","2765","","3924","44843 County Road 19","",""
"USA","AL","Decatur","2007-03-06","35603","2766","","3925","2700 Refuge Headquarters Road","",""
"USA","CA","11 counties","2007-03-06","","2768","","3935","","",""
"USA","CA","San Joaquin and Stanislaus Counties","2007-03-06","","2772","","3941","State Hwy 132","",""
"USA","FL","Naples","2007-03-06","34114","2775","","3946","3860 Tollgate Blvd., ","Suite 300",""
"USA","FL","Titusville","2007-03-06","32752","2776","","3947","Located off Highway 50 west of Titusville, FL","P.O. Box 6504",""
"USA","FL","Crystal River","2007-03-06","34429","2777","","3949","1502 S.E. Kings Bay Drive","",""
"USA","NY","Shawangunk","2007-03-06","12589","2779","","3957","Hoagerburgh Road","",""
"USA","OR","Sherwood","2007-03-06","97140","2780","","3959","16507 SW Roy Rogers Rd","",""
"USA","GA","Savannah","2007-03-06","31405","2784","","3965","1000 Business Center Drive,"," Suite 10",""
"USA","SC","Oyster Bed Island","2007-03-06","","2785","","3966","Administrative Office - 1000 Business Center Drive","Suite 10 - Savannah, GA   331405 <br>",""
"USA","OR","Oretown","2007-03-06","","2786","","4001","7000 Christensen Rd","",""
"USA","SC","Georgetown","2007-03-06","29440","2789","","4005","1601 N. Fraser Street","",""
"USA","HI","Honolulu","2007-03-06","","2791","","4009","About 2,500 miles south of ","",""
"USA","HI","Honolulu","2007-03-06","","2793","","4012","About 1,000 miles south-southwest of","",""
"USA","VA","Chincoteague","2007-03-06","23336","2800","","4037","C/O Chincoteague National Wildlife Refuge","8231 Beach Road",""
"USA","VA","Poquoson, York Co.","2007-03-06","","2801","","4038","","",""
"USA","WA","Washougal","2007-03-06","","2802","","4041","Near State Rte 14 and 15th St","",""
"USA","VA","Woodbridge","2007-03-06","22191","2803","","4042","13950 Dawson Beach Rd","",""
"USA","WA","Richland","2007-03-06","99352","2804","","4045","3250 Port of Benton Blvd","",""
"USA","MA","Newburyport","2007-03-06","01950","2805","","4046","c/o Parker River National Wildlife Refuge","261 Northern Boulevard, Plum Island",""
"USA","IA","Wapello","2007-03-06","52653","2811","","4054","10728 County Rd X61","",""
"USA","IL","Brussels","2007-03-06","62013","2812","","4056","HCR 82, Box 107 (Hagen Road)","",""
"USA","MA","Sudbury","2007-03-06","01776","2815","","4060","c/o Eastern MA NWR Complex","73 Weir Hill Road",""
"USA","NJ","Newark","2004-07-09","07102","2820","","4075","111 Mulberry Street","Suite 1N",""
"USA","CA","Colusa County","2007-03-06","","2823","","4091","","",""
"USA","UT","Boulder","2011-08-03","84716","2828","","4108","Anasazi State Park ","  P.O. Box 1429",""
"USA","AZ","Safford","2004-07-08","85546-3321","2829","","4109","Safford Field Office","711 14th Avenue",""
"USA","VA","Lorton","2004-07-08","22079","2830","","4112","10705 Belmont Blvd","",""
"USA","AK","Fairbanks","2008-12-29","99709","3000","","10"," Bureau of Land Management","Fairbanks District Office"," 1150 University Avenue"
"USA","AK","Anchorage","2011-07-19","99507","3002","","585","4700 BLM Road","",""
"USA","MS","Yazoo City, MS  39194","2007-03-06","39194","3266","","1556","13695 River Road","",""
"USA","MA","Newburyport","2007-03-06","01950","3267","","1557","261 Northern Boulevard, Plum Island","",""
"USA","IN","Oakland City","2007-03-21","47660","3268","","1559","510 1/2 West Morton St.","",""
"USA","MD","Laurel","2007-03-21","20708","3269","","1560","10901 Scarlet Tanager Loop","",""
"USA","UT","St. George","2012-09-25","84790","3271","","1801","Arizona Strip Field Office","345 E. Riverside Dr.",""
"USA","AL","Decatur","2007-03-06","35603","3281","","3926","2700 Refuge Headquarters Road","",""
"USA","NY","Islip","2007-03-06","11751","3289","","3997","500 St. Marks Ln.","",""
"USA","CT","New Milford","2004-07-09","06776","3534","","5457","44 Upland Road","",""
"USA","NV","Boulder City","2009-10-20","89006","3537","","29","Bureau of Reclamation","Lower Colorado Dams Office","P.O. Box 60400"
"USA","AZ","Lake Havasu City","2004-07-08","86406","3548","","603","2610 Sweetwater Avenue","",""
"USA","UT","Escalante","2011-08-03","84726","3549","","1864","Escalante Field Station","PO Box 225","(755 W. Main St)"
"USA","MA","Waltham","2004-11-22","02452-6399","3567","","10012","Northeast Region, - Waltham, MA Boston ","Frederick C. Murphy Federal Center ","380 Trapelo Road "
"USA","CA","Laguna Niguel","2004-11-17","92677-3497","3570","","10015","NARA's Pacific Region - Laguna Niguel, CA ","24000 Avila Road ","1st Floor, East Entrance"
"USA","CO","Denver","2004-11-17","80225-0307","3571","","10016","NARA's Rocky Mountain Region ¿ Denver","Bldg. 48, Denver Federal Center","West 6th Avenue and Kipling Street"
"USA","GA","East Point","2004-11-17","30344-2593","3572","","10017","NARA's Southeast Region - Atlanta, GA","1557 St. Joseph Avenue",""
"USA","IL","Chicago","2004-11-17","60629-5898","3573","","10018","NARA's Great Lakes Region -  Chicago, IL","7358 South Pulaski Road",""
"USA","MA","Pittsfield","2004-11-17","01201-8230","3574","","10019","NARA¿s Northeast Region, Pittsfield, MA","10 Conte Drive",""
"USA","MO","Kansas City","2004-11-17","64131-3011","3575","","10020","NARA's Central Plains Region - Kansas City","2312 East Bannister Road",""
"USA","OH","Dayton ","2004-11-17","45439-1883","3577","","10022","NARA's Great Lakes Region -Dayton ","150 Springboro Road",""
"USA","PA","Philadelphia ","2004-11-17","19154-1096","3579","","10023","NARA's Mid Atlantic Region's - Northeast Philadelphia ","14700 Townsend Road",""
"USA","TX","Fort Worth ","2004-11-18","76115-3405","3580","","10024","NARA's Southwest Region - Fort Worth ","501 West Felix Street","Building 1"
"USA","WA","Seattle ","2004-11-18","98115-7999","3581","","10025","NARA's Pacific Alaska Region - Seattle ","6125 Sand Point Way NE",""
"USA","CA","San Bruno","2004-11-18","94066-2350","3584","","10028","NARA's Pacific Region - San Francisco ","1000 Commodore Drive ",""
"USA","MO","Lee's Summit","2004-11-22","64064-1182","3585","","10029","NARA's Central Plains Region - Lee's Summit, MO ","200 Space Center Drive",""
"USA","NM","Carlsbad","2005-08-03","88220","3589","","10039","Carlsbad Field Office","620 E. Green ST.",""
"USA","NM","Carlsbad","2005-08-03","88220","3599","","10038","Carlsbad Field OFffice ","620 E. Greene ST",""
"USA","NM","Farmington ","2005-08-03","87401","3601","","10041","Farmington Field Office ","1235 La Plata Highway Suite A",""
"USA","NM","Las Cruces","2005-08-03","88005-3370","3609","","10053","Las Cruces District Office ","1800 Marquess Street",""
"USA","NM","Las Cruces","2005-08-03","88005-3370","3614","","10057","Las Cruces District Office ","1800 Marquess Street",""
"USA","NM","Socorro","2011-07-28","87801","3621","","10063","Socorro Field Office ","901 S. Highway 85",""
"USA","NM","Socorro","2011-07-28","87801","3622","","10064","Socorro Field Office ","901 S. Highway 85",""
"USA","NM","Jemez Springs","2007-02-02","87025","3626","","12715","18161 Highway 4","",""
"USA","ND","Devils Lake","2007-04-03","58301","4339","","12719","221 2nd Street West","",""
"","CA"," ","2010-04-25"," ","5176","","12842"," ","",""
"","SD"," ","2010-04-25"," ","5177","","12843"," ","",""
"","NM"," ","2010-04-25"," ","5178","","12844"," ","",""
"","MI"," ","2010-04-25"," ","5179","","12845"," ","",""
"","CO"," ","2010-04-25"," ","5180","","12846"," ","",""
"","NV"," ","2010-04-25"," ","5182","","12848"," ","",""
"","AR"," ","2010-04-25"," ","5183","","12849"," ","",""
"","NM"," ","2010-04-25"," ","5184","","12850"," ","",""
"","AZ"," ","2010-04-25"," ","5185","","12851"," ","",""
"","SC"," ","2010-04-25"," ","5186","","12852"," ","",""
"","ID"," ","2010-04-25"," ","5187","","12853"," ","",""
"","GA"," ","2010-04-25"," ","5188","","12854"," ","",""
"","CA"," ","2010-04-25"," ","5189","","12855"," ","",""
"","AK"," ","2010-04-25"," ","5190","","12856"," ","",""
"USA","NV","Las Vegas","2011-08-01"," 89130","5191","","12857"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"","AK"," ","2010-04-25"," ","5192","","12858"," ","",""
"","WI"," ","2010-04-25"," ","5193","","12859"," ","",""
"","AK"," ","2010-04-25"," ","5194","","12860"," ","",""
"","CO"," ","2010-04-25"," ","5195","","12861"," ","",""
"","TX"," ","2010-04-25"," ","5196","","12862"," ","",""
"","MS"," ","2010-04-25"," ","5197","","12863"," ","",""
"","HI"," ","2010-04-25"," ","5198","","12864"," ","",""
"","HI"," ","2010-04-25"," ","5199","","12865"," ","",""
"","CO"," ","2010-04-25"," ","5200","","12866"," ","",""
"USA","NV","Las Vegas ","2011-08-01","89130","5201","","12867"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"","MI"," ","2010-04-25"," ","5202","","12868"," ","",""
"","NV"," ","2010-04-25"," ","5203","","12869"," ","",""
"","CA"," ","2010-04-25"," ","5204","","12870"," ","",""
"","CA"," ","2010-04-25"," ","5205","","12871"," ","",""
"","AK"," ","2010-04-25"," ","5206","","12872"," ","",""
"","AK"," ","2010-04-25"," ","5207","","12873"," ","",""
"","AK"," ","2010-04-25"," ","5208","","12874"," ","",""
"","CA"," ","2010-04-25"," ","5209","","12875"," ","",""
"","CA"," ","2010-04-25"," ","5210","","12876"," ","",""
"","FL"," ","2010-04-25"," ","5211","","12877"," ","",""
"","CO"," ","2010-04-25"," ","5212","","12878"," ","",""
"","CA"," ","2010-04-25"," ","5213","","12879"," ","",""
"","WA"," ","2010-04-25"," ","5214","","12880"," ","",""
"USA","NV"," Las Vegas","2011-08-01"," 89130","5215","","12881"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"","NV"," ","2010-04-25"," ","5216","","12882"," ","",""
"","AK"," ","2010-04-25"," ","5217","","12883"," ","",""
"","WA"," ","2010-04-25"," ","5218","","12884"," ","",""
"","AZ"," ","2010-04-25"," ","5219","","12885"," ","",""
"","NY"," ","2010-04-25"," ","5220","","12886"," ","",""
"","AZ"," ","2010-04-25"," ","5221","","12887"," ","",""
"","CA"," ","2010-04-25"," ","5222","","12888"," ","",""
"","CA"," ","2010-04-25"," ","5223","","12889"," ","",""
"","NV"," ","2010-04-25"," ","5224","","12890"," ","",""
"","CO"," ","2010-04-25"," ","5225","","12891"," ","",""
"","AZ"," ","2010-04-25"," ","5226","","12892"," ","",""
"","CO"," ","2010-04-25"," ","5227","","12893"," ","",""
"","CA"," ","2010-04-25"," ","5228","","12894"," ","",""
"","VA"," ","2010-04-25"," ","5229","","12895"," ","",""
"USA","NV"," Las Vegas","2011-08-03","89130","5230","","12896"," Las Vegas Field Office","Las Vegas Field Office",""
"","WA"," ","2010-04-25"," ","5231","","12897"," ","",""
"","ND"," ","2010-04-25"," ","5232","","12898"," ","",""
"","AK"," ","2010-04-25"," ","5233","","12899"," ","",""
"","CA"," ","2010-04-25"," ","5234","","12900"," ","",""
"","UT"," ","2010-04-25"," ","5235","","12901"," ","",""
"USA","CA"," Ramona","2011-08-08"," 92065","5237","","12902","Palomar Ranger District ","1634 Black Canyon Road ",""
"","CA"," ","2010-04-25"," ","5265","","12930"," ","",""
"USA","CA"," Bakersfield","2011-08-08","  93308","5342","","13006"," Bakersfield Field Office","3801 Pegasus Drive",""
"USA","ID","Boise","2011-07-29","83709","5362","","13026","Idaho State Office ","1387 S. Vinnell Way",""
"USA","CA"," Redding","2011-08-08"," 96002","5407","","13071"," Redding Field Office","355 Hemsted Drive",""
"USA","UT"," St. George","2011-07-19"," 84790","5421","","13085"," Arizona Strip District ","345 East Riverside Drive",""
"USA","CA"," Ridgecrest","2011-08-08","93555","5424","","13088"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","NV"," Las Vegas","2011-08-01"," 89130","5430","","13094"," Red Rock/Sloan Field Office","4701 North Torrey Pines Drive",""
"USA","OR"," Prineville","2012-04-16"," 97754","5449","","13113"," 3050 N.E. 3rd Street  ","",""
"USA","CA","Ridgecrest","2011-08-08","93555","5452","","13116"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","NV"," Las Vegas","2011-08-01"," 89130","5492","","13156"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"USA","NV","Ely ","2011-08-01"," 89301","5493","","13157"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","NV"," Las Vegas","2011-08-03"," 89130","5542","","13206"," Red Rock/Sloan Field Office","4701 North Torrey Pines Drive",""
"USA","CA"," Palm Springs","2011-08-09"," 92262","5573","","13237"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CA"," Bakersfield","2011-08-09"," 93308","5581","","13245"," Bakersfield Field Office","3801 Pegasus Drive",""
"USA","CA","Palm Springs","2011-08-09","92262","5582","","13246"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CO"," Gunnison ","2012-04-17"," 81230","5637","","13301"," Gunnison Field Office","650 South 11th Street  ",""
"USA","CA"," Hollister","2011-08-09","95023","5642","","13306"," Hollister Field Office","20 Hamilton Court",""
"USA","OR"," Medford","2011-08-02","97504","5662","","13326"," Medford District Office","3040 Biddle Road",""
"USA","CA"," Arcata","2011-08-09"," 95521","5669","","13333"," Arcata Field Office","1695 Heindon Road ",""
"USA","CA"," Arcata","2011-08-09"," 95521","5670","","13334"," Arcata Field Office","1695 Heindon Road ",""
"USA","CA","Ridgecrest ","2011-08-08","93555","5672","","13335"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","AZ"," Kingman","2011-07-19"," 86401","5673","","13336","Kingman Field Office","2755 Mission Boulevard",""
"USA","NV"," Las Vegas","2011-08-01"," 89130","5674","","13337"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"USA","AZ"," Kingman","2011-07-19"," 86401","5675","","13338"," Kingman Field Office","2755 Mission Boulevard",""
"USA","AZ"," Tucson","2011-07-19"," 85748","5676","","13339"," Tucson Field Office","12661 East Broadway",""
"USA","UT","St. George","2011-08-03","84790","5677","","13340"," St. George Field Office","345 East Riverside Drive",""
"USA","CA"," Palm Springs","2011-08-08"," 92262","5678","","13341"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","UT"," St. George","2011-07-19"," 84790","5679","","13342"," Arizona Strip Field Office ","345 East Riverside Drive",""
"USA","NV"," Ely","2011-08-01"," 89301 ","5680","","13343"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","AZ"," Phoenix","2011-07-19"," 85027","5681","","13344"," Hassayampa Field Office ","21605 N. 7th Avenue",""
"USA","ID"," Boise","2011-07-29"," 83705","5682","","13345"," Bruneau Field Office","3948 Development Avenue",""
"USA","CA"," Palm Springs","2011-08-08"," 92262","5683","","13346"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","NV"," Ely","2011-08-01"," 89301","5684","","13347"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","CA"," Barstow","2011-08-08","92311","5687","","13350"," Barstow Field Office","2601 Barstow Road",""
"USA","CO"," Grand Junction","2011-07-27"," 81506","5688","","13351"," Grand Junction Field Office","2815 H Road",""
"USA","UT"," Moab","2011-08-03"," 84532","5690","","13353"," Moab Field Office","82 East Dogwood",""
"USA","CA"," Ridgecrest","2011-08-08"," 93555","5691","","13354"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","NV"," Ely","2011-08-01"," 89301","5692","","13355"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","CA"," Needles","2011-08-08"," 92363","5693","","13356"," Needles Field Office","1303 S. Highway 95",""
"USA","CA"," Needles","2011-08-08","92363","5696","","13359","Needles Field Office","1303 S. Highway 95",""
"USA","UT"," St. George","2011-08-03"," 84790","5698","","13361"," St. George Field Office","345 East Riverside Drive",""
"USA","UT"," Salt Lake City","2011-08-03"," 84119","5701","","13364"," Salt Lake Field Office","2370 South 2300 West",""
"USA","CA","Needles ","2011-08-08","92363","5703","","13366"," Needles Field Office","1303 S. Highway 95",""
"USA","CA"," Bakersfield","2011-08-08"," 93308","5704","","13367","Bakersfield Field Office","3801 Pegasus Drive",""
"USA","CA"," Palm Springs","2011-08-08","92262","5705","","13368"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CA"," Barstow","2011-08-08"," 92311","5706","","13369"," Barstow Field Office","2601 Barstow Road",""
"USA","NV"," Ely","2011-08-01"," 89301","5708","","13371"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","CA"," Ridgecrest","2011-08-08"," 93555","5709","","13372"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","UT"," St. George","2011-08-03"," 84790","5710","","13373"," St. George Field Office","345 East Riverside Drive",""
"USA","UT"," St. George","2011-07-19"," 84790","5711","","13374"," Arizona Strip Field Office ","345 East Riverside Drive",""
"USA","UT"," St. George","2011-08-03"," 84790","5712","","13375"," St. George Field Office","345 East Riverside Drive",""
"USA","CA"," Ridgecrest","2011-08-08","93555","5714","","13377"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","UT"," St. George","2011-08-03"," 84790","5716","","13379"," St. George Field Office","345 East Riverside Drive",""
"","UT"," ","2010-04-25"," ","5717","","13380"," ","",""
"USA","NV"," Ely","2011-08-01"," 89301","5718","","13381"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","UT"," St. George","2011-08-03"," 84790","5719","","13382"," St. George Field Office","345 East Riverside Drive",""
"USA","CO","Montrose","2011-07-27"," 81401","5720","","13383","Uncompahgre Field Office","2465 South Townsend Avenue",""
"USA","AZ","Safford","2010-09-22","85546","5721","","2273"," BLM Safford Field Office","711 14th Avenue",""
"USA","AZ"," Yuma","2011-07-19"," 85365","5722","","13384"," Yuma Field Office ","2555 East Gila Ridge Road",""
"USA","AZ"," Lake Havasu City","2011-07-19"," 86406","5723","","13385"," Lake Havasu Field Office ","2610 Sweetwater Avenue",""
"USA","CA"," Ridgecrest","2011-08-08","93555","5725","","13387"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","NV"," Ely","2011-08-01"," 89301","5726","","13388"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","AZ"," Safford","2011-07-19","85546","5728","","2277"," BLM Safford Field Office","711 14th Avenue",""
"USA","NV"," Ely","2011-08-01","89301","5729","","13390"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","CA"," Barstow","2011-08-08","92311","5730","","13391"," Barstow Field Office","2601 Barstow Road",""
"USA","AZ"," Lake Havasu City","2011-07-19"," 86406","5731","","13392"," Lake Havasu Field Office ","2610 Sweetwater Avenue",""
"USA","CA"," Ridgecrest","2011-08-08"," 93555","5732","","13393"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","UT"," St. George","2011-08-03"," 84790","5733","","13394","St. George Field Office","345 East Riverside Drive",""
"USA","NV"," Ely","2011-08-01"," 89301","5734","","13395"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","NV"," Ely","2011-08-01"," 89301","5735","","13396"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","UT"," St. George","2011-07-19"," 84790","5736","","13397"," Arizona Strip District ","345 East Riverside Drive",""
"USA","CA"," Ridgecrest","2011-08-08","93555","5738","","13398"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","CO"," Montrose","2011-07-27"," 81401","5739","","13399"," Uncompahgre Field Office","2465 South Townsend Avenue",""
"USA","AZ"," Lake Havasu City","2011-07-19"," 86406","5740","","13400"," Lake Havasu Field Office ","2610 Sweetwater Avenue ",""
"USA","AZ"," Phoenix","2011-07-19","85027","5741","","13401"," Hassayampa Field Office ","Hassayampa Field Office ",""
"USA","AZ"," Phoenix","2011-07-19"," 85027","5742","","13402"," Hassayampa Field Office ","21605 N. 7th Avenue",""
"USA","NV"," Winnemucca","2011-08-01"," 89445","5744","","13403"," Black Rock Field Office","5100 East Winnemucca Blvd.",""
"USA","NV"," Winnemucca","2011-08-01"," 89445","5745","","13404"," Black Rock Field Office","5100 East Winnemucca Blvd.",""
"USA","NV"," Ely","2011-08-01"," 89301","5746","","13405"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","CA"," Barstow","2011-08-08"," 92311","5747","","13406"," Barstow Field Office","2601 Barstow Road",""
"USA","AZ"," Phoenix","2011-07-19"," 85027","5748","","13407"," Hassayampa Field Office ","21605 N. 7th Avenue",""
"USA","CA"," Barstow","2011-08-08","92311","5749","","13408"," Barstow Field Office","2601 Barstow Road",""
"USA","NV","Las Vegas ","2011-08-01","89130","5752","","13411"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"USA","WA"," Spokane","2011-07-27"," 99212","5753","","13412"," Spokane District Office ","1103 N Fancher Road ",""
"USA","CA"," Needles","2011-08-08","92363","5754","","13413"," Needles Field Office","1303 S. Highway 95",""
"USA","UT","St. George ","2011-08-03"," 84790","5757","","13416"," St. George Field Office","345 East Riverside Drive",""
"USA","NV"," Las Vegas","2011-08-01"," 89130","5758","","13417"," Las Vegas Field Office","4701 North Torrey Pines Drive",""
"USA","CA"," Palm Springs","2011-08-08"," 92262","5759","","13418","Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","NV"," Winnemucca","2011-08-01"," 89445","5760","","13419"," Black Rock Field Office","5100 East Winnemucca Blvd",""
"USA","ID"," Boise","2011-07-29"," 83705","5761","","13420"," Bruneau Field Office ","3948 Development Avenue",""
"USA","CA"," Ridgecrest","2011-08-08","93555","5763","","13422"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","CA"," Ridgecrest","2011-08-08"," 93555","5764","","13423"," Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","NV"," Ely","2011-08-01","89301","5765","","13424"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","CA"," Palm Springs","2011-08-08","92262","5766","","13425"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CA"," Needles","2011-08-08","92363","5767","","13426"," Needles Field Office","1303 S. Highway 95",""
"USA","NV"," Ely","2011-08-01","89301","5768","","13427"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","NV","Ely","2011-08-01","89301","5769","","13428"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","UT"," St. George","2011-07-19","  84790","5770","","13429"," Arizona Strip District ","345 East Riverside Drive",""
"USA","AZ"," Kingman ","2011-07-19"," 86401","5771","","13430"," Kingman Field Office","2755 Mission Boulevard",""
"USA","AZ"," Kingman","2011-07-19"," 86401","5772","","13431","Kingman Field Office","2755 Mission Boulevard",""
"USA","UT"," St. George","2011-07-19","84790","5773","","13432"," Arizona Strip District","345 East Riverside Drive",""
"USA","AZ"," Kingman","2011-07-19"," 86401","5774","","13433"," Kingman Field Office","2755 Mission Boulevard",""
"USA","NV"," Ely ","2011-08-01","89301","5775","","13434"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"","AZ"," ","2010-04-25"," ","5776","","13435"," ","",""
"USA","AZ"," Tucson","2012-09-05"," 85756","5777","","13436"," Tucson Field Office","3201 East Universal Way",""
"USA","AZ"," Yuma","2012-09-05"," 85365","5778","","13437"," Yuma Field Office","2555 East Gila Ridge Road",""
"USA","CA"," Barstow","2011-08-08","92311","5779","","13438"," Barstow Field Office","2601 Barstow Road",""
"USA","CA"," Barstow","2011-08-08"," 92311","5780","","13439"," Barstow Field Office","2601 Barstow Road",""
"USA","NV"," Winnemucca","2011-08-01"," 89445","5782","","13440"," Black Rock Field Office","5100 East Winnemucca Blvd.",""
"USA","NV"," Winnemucca","2011-08-01"," 89445","5784","","13442"," Black Rock Field Office","5100 East Winnemucca Blvd",""
"USA","AZ"," Phoenix","2011-07-19"," 85027","5785","","13443"," Sonoran Desert National Monument","21605 N. 7th Avenue ",""
"USA","NV"," Las Vegas","2011-08-01"," 89130","5786","","13444"," Red Rock/Sloan Field Office","4701 North Torrey Pines Drive",""
"USA","AZ"," Safford","2010-09-22","85546","5788","","2274","BLM Safford Field Office"," 711 14th Avenue",""
"USA","OR"," Prineville","2011-08-01"," 97754","5791","","13448"," Prineville District Office","3050 N.E. 3rd Street",""
"USA","CA"," Palm Springs","2011-08-08"," 92262","5792","","13449"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CA"," Palm Springs","2011-08-08"," 92262","5793","","13450"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","CA"," Bakersfield","2011-08-08","93308","5794","","13451"," Bakersfield Field Office","3801 Pegasus Drive",""
"USA","CA"," Barstow","2011-08-08","92311","5796","","13453"," Barstow Field Office","2601 Barstow Road",""
"USA","NV"," Winnemucca","2011-08-02"," 89445","5797","","13454"," Black Rock Field Office","5100 E Winnemucca Blvd",""
"USA","UT"," St. George","2011-07-19","84790","5798","","13455"," Arizona Strip District ","345 East Riverside Drive",""
"USA","CA"," Palm Springs ","2011-08-08"," 92262","5799","","13456"," Palm Springs South Coast Field Office","1201 Bird Center Drive",""
"USA","NV"," Ely","2011-08-02","89301","5802","","13459"," Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","AZ"," Safford","2010-09-22"," 85546","5803","","2275"," BLM Safford Field Office","711 14th Avenue",""
