CREATEDDATE,FACILITYID,LASTUPDATEDDATE,TOURACCESSIBLE,TOURDESCRIPTION,TOURDURATION,TOURID,TOURNAME,TOURTYPE
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Lantern-light experience, prehistoric cave users, 19th century tours, early cave exploration and commercial uses.","180","104","Violet City Lantern","Cave Tour"
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Geologic development, water continuing to impact the cave.","150","105","River Styx","Cave Tour"
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Focus on formation of cave, development of dripstone and animal life.","75","106","Frozen Niagara","Cave Tour"
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Follow your guide to the Historic Entrance where the cave was first discovered more that 4,000 years ago.","75","107","Passage Tour","Cave Tour"
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Visit the Rotunda, one of the largest rooms in the cave; explore a vast canyon passageway; and learn about 19th-century saltpeter mining operations and the geologic origins of Mammoth Cave on this self-guiding tour.","20","108","Discovery Tour","Cave Tour"
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Descend and ascend nearly 200 stairs at the Carmichael Entrance of Mammoth Cave, pass the craggy breakdown of the Rocky Mountains and enter gypsum encrusted Cleaveland Avenue.","180","109","Snowball Tour","Cave Tour"
"2014-05-02 18:31:41","250006","2016-03-03 06:26:55","No","Standing General Admission","0","110","Standing General Admission","Historic Tour"
"2014-05-02 18:31:41","250029","2016-03-03 06:26:55","No","Group B 9:45AM - 11:45AM","0","111","Group B 9:45AM - 11:45AM","Historic Tour"
"2014-05-02 18:31:41","250029","2016-03-03 06:26:55","No","Group C 12:15PM - 2:15PM","0","112","Group C 12:15PM - 2:15PM","Historic Tour"
"2014-05-02 18:31:41","250029","2016-03-03 06:26:55","No","Group E 4:45PM - 6:45PM","0","113","Group E 4:45PM - 6:45PM","Historic Tour"
"2014-05-02 18:31:41","250029","2016-03-03 06:26:55","No","Group A 7:30AM-9:30AM","0","114","Group A 7:30AM-9:30AM","Historic Tour"
"2014-05-02 18:31:41","234640","2016-03-03 06:26:55","No","Some areas of Mammoth Cave just seem magical, and Gothic Avenue is one of those special places.  This tour begins at the Visitor Center and enters that now famous entrance, as the ranger interprets areas including the Rotunda, the Church, Giants Coffin, and the TB Huts. Gothic Avenue is also included in the Star Chamber Tour that is offered during spring, summer and fall.","120","115","Gothic Avenue Tour","Cave Tour"
"2014-05-02 18:31:41","234668","2016-03-03 06:26:55","No","The Fiery Furnace offers a labyrinth of narrow passageways and abrupt dead-ends among a series of sandstone fins. Though it does not encompass a very large area, it is easy to become disoriented or lost.","180","116","Fiery Furnace Tour","Hike"
"2014-05-02 18:31:41","233244","2016-03-03 06:26:55","No","The tour begins at the Soda Lake Overlook at 10:00am. After an introduction and brief history of the Carrizo, the group will explore Soda Lake and the Carrizo Plains plant communities, with general wildflower identification.","180","117","Painted Rock Guided Tour","Historic Tour"
"2014-05-02 18:31:41","233244","2016-03-03 06:26:55","No","The sandstone formation at Painted Rock has long drawn the attention of Carrizo Plain visitors.  About 3,000 - 4,000 years ago, Native Americans began to paint their sacred images within the alcove of the rock.  Not surprisingly, the power of this place continues to enthrall, and it still receives many visitors today.The Painted Rock Self Guided Tour Gives you a unique experience you cannot get any other place in the world.  It is a 1.4 mile round trip hike where you get to experience Painted rock and its wonderful Native American Pictographs ","90","118","Painted Rock Self Guided Tour","Historic Tour"
"2014-05-02 18:31:41","233244","2016-03-03 06:26:55","No","The tours meet at the Goodwin Education Center off of Soda Lake Road at 10 a.m. and will caravan up to the ranch. Visitors should bring a sack lunch to enjoy while sitting on the ranch house veranda at the tour conclusion. ","150","119","Saucito Ranch Tour","Historic Tour"
"2014-05-02 18:31:41","234645","2016-03-03 06:26:55","Yes","Self-guided timed Entry is offered every 15 mins. beginning at 10:00 a.m. to 90 minutes before closing, daily. Individuals may reserve up to 20 spaces and groups may reserve up to 100 spaces (large groups please book thorugh the <a href=http://www.recreation.gov/tourSwitchSalesCategoryDisplay.do?contractCode=NRSO&parkId=79052&target=tourList/>group sales</a> section of the website).  Plan for a 90-minute visit to the Charters of Freedom (home to the Declaration, Constitution, and Bill of Rights), the Public Vaults permanent exhibit gallery, the OBrien temporary exhibit gallery, the Boeing Learning Center, and the David M. Rubenstein Gallery.","0","120","Self-Guided Timed Entry","Historic Tour"
"2014-05-02 18:31:41","234645","2016-03-03 06:26:55","Yes","While National Archives visitors guide themselves through the museum. Once per day, Monday through Friday, at 9:45 a.m we offer a 1-hour docent-led guided tour of the National Archives Museum. Individuals and groups may reserve up to 15 spaces. The tour includes the Rotunda for the Charters of Freedom (home to the Declaration of Independence, Constitution, and Bill of Rights) and the Public Vaults permanent, interactive exhibit gallery. ","60","121","Tour (Docent-Guided)","Historic Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","Discovery in the Dark Headlamp Tours take visitors into the last part of the Discovery Trail. The cave lights are off, and visitors will use helmet-mounted lights to get a look at life in the dark.","60","122","Discovery in the Dark Headlamp Tour","Cave Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","The Discovery Trail follows the path of the first explorers through large water-carved passages, under the natural entrance and along the cave stream.","90","123","Discovery Trail Tour","Cave Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","The Wild Cave Tour takes visitors through the undeveloped sections of the middle level of Blanchard. All gear is provided except boots. Particpants must wear boots with good ankle support and aggressive tread. The tour ends at the Titans formations. Participants must be at least ten years old, and ten to twelve year olds must be accompanied by a responsible adult. Each tour must have a minimum of 3 participants.","300","124","Wild Cave Tour","Cave Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","The Dripstone Trail Tour travels through two huge rooms filled with an incredible variety and number of crystalline formations - sparkling flowstone, towering columns, and delicate soda straws. This shorter, easier trail takes visitors almost half a mile through the Caverns.","60","125","Dripstone Trail Tour","Cave Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","Forest Seasonal Day Use Pass","0","126","Forest Seasonal Day Use Pass","Pass"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","Interagency Senior Passport","0","127","Interagency Senior Passport","Pass"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","The Dripstone Trail Tour travels through two huge rooms filled with an incredible variety and number of crystalline formations - sparkling flowstone, towering columns, and delicate soda straws. This shorter, easier trail takes visitors almost half a mile through the Caverns.","60","128","Group Dripstone Trail Tour","Cave Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","The Discovery Trail follows the path of the first explorers through large water-carved passages, under the natural entrance and along the cave stream.","90","129","Group Discovery Trail Tour","Cave Tour"
"2014-05-02 18:31:41","233266","2016-03-03 06:26:55","No","Interagency Access Passport","0","130","Interagency Access Passport","Pass"
"2014-05-02 18:31:41","233282","2016-03-03 06:26:55","No","Lower Vine Ranch was where Scotty lived - not Scottys Castle. Scottys modest cabin, garage, small blacksmith shed, grain shed, and corrals are seen on this 2-mile round trip ranger-guided hike over uneven surfaces.","150","131","Lower Vine Ranch Hike","Historic Tour"
"2014-05-02 18:31:41","233282","2016-03-03 06:26:55","No","House-Underground Combo Tour","0","132","House-Underground Combo Tour","Combo Tour"
"2014-05-02 18:31:41","233282","2016-03-03 06:26:55","No","1-hour walking tour of basement, tunnels and power house, focuses on 1920s technology used at Scottys Castle.","60","133","Underground Tour","Historic Tour"
"2014-05-02 18:31:41","233282","2016-03-03 06:26:55","No","Guided walking tour through main rooms in Scottys Castle.","60","134","House Tour","Historic Tour"
"2014-05-02 18:31:41","233282","2016-03-03 06:26:55","No","Guided walking tour through main rooms in Scottys Castle.","0","135","Group House Tour","Historic Tour"
"2014-05-02 18:31:41","233282","2016-03-03 06:26:55","No","1-hour walking tour of basement, tunnels and power house, focuses on 1920s technology used at Scottys Castle.","0","136","Group Underground Tour","Historic Tour"
"2014-05-02 18:31:41","233274","2016-03-03 06:26:55","No","The ruins of Guevavi and Calabazas Missions, protected as a part of Tumacacori National Historical Park and normally closed to the public,can be visited as a participant in these special reserved tours.","240","137","Guevavi and Calabazas Missions Tour","Historic Tour"
"2014-05-02 18:31:41","234166","2016-03-03 06:26:55","No","Guided Auto Tour of Picket Wire Canyonlands. Home to the largest dinosaur tracksite in North America","480","138","Picket Wire Canyonlands Guided Auto Tour","Historic Tour"
"2014-05-02 18:31:41","233362","2016-03-03 06:26:55","No","Named for three mugs tied together with yucca rope found hanging inside one of its rooms, Mug House was first visited by the Wetherill brothers of Mancos, Colorado in 1889. The site was not completely excavated and stabilized until 1960-61 as part of the Wetherill Mesa Project, a joint project of the National Park Service and National Geographic Society.<br><br>Mug House was built over several decades in the AD 1100s and 1200s and likely supported a population of 80 to 100 people. Along the route to this amazing site, you will visit other Ancestral Puebloan sites including Adobe Cave, which features partially excavated rooms. This ranger-guided hike offers wonderful views of Rock Canyon.<br><br><b>Vehicles on this road are restricted to less than 8,000 pounds and 25-feet in length.</b>","120","139","Mug House","Cliff Dwelling Tour"
"2014-05-02 18:31:41","233362","2016-03-03 06:26:55","No","Expansive canyon views, spectacular glimpses of cliff dwellings and Wetherill Mesa in the autumn reward hikers on this hike. We will introduce you to the story of the Ancestral Pueblo people, the environment in which they lived, and the ecology of the pinyon-juniper woodlands.","240","140","Wetherill Mesa Experience","Natural and Cultural Hike"
"2014-05-02 18:31:41","233362","2016-03-03 06:26:55","No","Enjoy the autumn weather and fall color as you hike this historic trail, built in the 1930s by a Depression era organization, the Public Works Administration. You will view Pinkley House and several other small alcove sites, and experience two different natural communities as you descend from the drier mesa top pinyon-juniper woodlands to the mountain chaparral in the canyon bottom.","240","141","Upper Navajo Canyon Hike","Cliff Dwelling Tour"
"2014-05-02 18:31:41","234787","2016-03-03 06:26:55","Yes","Take as much time as you need on this self-guided tour while you stroll along the paved Great Kiva Trail and make your way toward a 44-foot diameter excavated great kiva and an excavated pit house, a typical residence of the ancient ones and a sacred archeoastronomy site.  A Site Monitor will be available to answer questions about the story of the people who lived at the Monument 1,000 years ago. This tour does not require reservations but you will still need to check-in at the cabin. ","0","142","Audio Kiva Trail  Tour","Historic Tour"
"2014-05-02 18:31:41","234787","2016-03-03 06:26:55","No","Early tour: If youve never been to Chimney Rock National Monument, take this opportunity to learn more about the people who lived in this wondrous site 1,000 years ago. Youll walk the one-third-mile Great Kiva Trail with a tour guide, then climb the Pueblo Trail in time for the Full Moon program","240","143","Full Moon & Early Tour Package","Historic Tour"
"2014-05-02 18:31:41","234787","2016-03-03 06:26:55","No","Your evening begins with a one hour interactive discussion at the Visitor Center on the archaeoastronomy of Chimney Rock and a preview of what guests may expect to see with telescopes. Topics range from astronomy, what the full moon meant to the Ancient People, and how a telescope helps us see stars. As darkness descends, guests drive to the High Mesa parking lot where volunteer astronomers await with telescopes to provide a closer look at the full moon. Focus will shift to deeper-sky objects plus any man-made objects that come into view. This program is perfect for young families and those with limited mobility.","120","144","Moon Viewing Plus","Historic Tour"
"2014-05-02 18:31:41","234787","2016-03-03 06:26:55","No","At the conclusion of the full moon program you will hike down to the parking lot where telescopes will be set up for the full moon viewing. Volunteer astronomers will be on hand to explain different features of the moon and answer any questions you may have. Dont miss the moon in its full glory at this wonderful program. This is a $5 add-on to the $15 full moon program and tickets are non-refundable, rain or shine.","120","145","Moon View","Historic Tour"
"2014-05-02 18:31:41","234787","2016-03-03 06:26:55","No","If youve never been to Chimney Rock National Monument, take this opportunity to learn more about the people who lived in this wondrous site 1,000 years ago. Youll walk the one-third-mile Great Kiva Trail with a tour guide, and then climb the Pueblo Trail in time for the full moon program.  Guests will see a 44-foot diameter excavated great kiva on this early tour. Also on this easy trail, theres an excavated pit house, a typical residence of the ancient ones. This is a $5 add-on to the $15 full moon program and tickets are non-refundable, rain or shine.","60","146","Early Tour","Historic Tour"
"2014-05-02 18:31:41","234641","2016-03-03 06:26:55","No","Reserved Seating Section Admission - GREEN","180","147","Reserved Seating Section Admission - GREEN","Historic Tour"
"2014-05-02 18:31:41","234641","2016-03-03 06:26:55","No","Reserved Seating Section Admission - BLUE","180","148","Reserved Seating Section Admission - BLUE","Historic Tour"
"2014-05-02 18:31:41","234641","2016-03-03 06:26:55","No","Reserved Seating Section Admission - SILVER","180","149","Reserved Seating Section Admission - SILVER","Historic Tour"
"2014-05-02 18:31:41","234641","2016-03-03 06:26:55","No","Reserved Seating Section Admission - RED","180","150","Reserved Seating Section Admission - RED","Historic Tour"
"2014-05-02 18:31:41","250006","2016-03-03 06:26:55","No","Seated General Admission","0","151","Seated General Admission","Historic Tour"
"2014-05-02 18:31:41","249985","2016-03-03 06:26:55","Yes","Haul lines to raise the sails with National Park Service Rangers as you explore the Bay aboard the historic 60 foot Alma! Take in dazzling views and San Franciscos riveting history: Native Americans, Spanish explorers, the Gold Rush, lighthouses, the Barbary Coast, Fishermans Wharf, earthquakes, shipbuilding and more! Before highways and bridges, hundreds of scow schooners like Alma plied San Francisco Bay, hauling goods as the flatbed trucks of their day. The last of her kind, Alma will transport you to a long ago era on this unique, hands-on, educational sailing program with the National Park Service. Sailing runs on selected days from  June to November. ","210","152","Sailing on Alma","Historic Tour"
"2014-05-02 18:31:41","250029","2016-03-03 06:26:55","No","Group D 2:30PM - 4:30PM","0","153","Group D 2:30PM - 4:30PM","Historic Tour"
"2014-05-02 18:31:41","249993","2016-03-03 06:26:55","No","The ranger-led, 1.5 hour Introduction to Caving Tour introduces visitors to the sport of caving. Although not a wild caving experience, the tour requires bending, crawling, and good physical condition. The tour is limited to 5 people, age 14 or older, and requires advanced tickets.   Add an additional 2+ hours for hiking to and from the caves. (Approx. 3 hours round trip)","240","154","Introduction to Caving Tour","Cave Tour"
"2014-05-02 18:31:41","249993","2016-03-03 06:26:55","No","All cave tours are guided by a park ranger. The regular  tour through all three caves lasts about an hour on a paved, lighted route. Touring the cool wet caves requires some bending and crouching. The caves are 45 F, 8 C. It is very common for these tours to sell out daily during the summer season. ","210","155","Cave Tour","Cave Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Hike: Roads Less Traveled: Eastham and Wellfleet","0","156","Hike: Roads Less Traveled: Eastham and Wellfleet","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Yoga on the Beach: Provincetown","75","157","Yoga on the Beach: Provincetown","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Fish, Snails, and Horseshoe Crab Tales: Provincetown","90","158","Fish, Snails, and Horseshoe Crab Tales: Provincetown","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Hike: Roads Less Traveled - Ballston Beach 7/19/14","180","159","Hike: Roads Less Traveled - Ballston Beach 7/19/14","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Hike: Roads Less Traveled: Truro and Provincetown","0","160","Hike: Roads Less Traveled: Truro and Provincetown","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Surfcasting 101: Beginning Surfcasting Lesson","90","161","Surfcasting 101: Beginning Surfcasting Lesson","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Snorkeling Adventure: Truro and Provincetown","120","162","Snorkeling Adventure: Truro and Provincetown","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Hike: Roads Less Traveled - Bound Brook Island 8/16/14","180","163","Hike: Roads Less Traveled - Bound Brook Island 8/16/14","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Fish, Snails, and Horseshoe Crab Tales: Wellfleet","90","164","Fish, Snails, and Horseshoe Crab Tales: Wellfleet","Nature Tour"
"2014-06-19 04:30:56","250795","2016-03-03 06:26:55","No","Yoga on the Beach: Eastham","75","165","Yoga on the Beach: Eastham","Nature Tour"
"2014-07-10 04:59:52","233274","2016-03-03 06:26:55","No","For the first time since its establishment as a national park site in 1908, campers seeking overnight shelter will be invited to stay the night within the walls of Mission San Jos de Tumaccori.  Camping out under the stars is a beloved tradition in national parks, says Superintendent Bob Love, We are so excited to offer visitors the chance not just to camp here at Tumaccori, but to experience this place the way travellers did over one hundred years ago.","870","166","Family Sleepover","Historic Tour"
"2014-08-28 04:37:45","234635","2014-09-11 04:20:25","No","Walk down the interior staircase of the Washington Monument (close to 900 steps) to see a new side of the worlds tallest freestanding stone structure. This is a physically challenging tour due to the nearly 50-story descent. Starting from the top of the Monument, you will step down through its layers of history and examine the staircase walls adorned with nearly 200 commemorative stones donated to the memory of the first President.","90","167","Washington Monument Staircase Tour","Historic Tour"
"2014-10-02 05:08:51","234635","2016-03-03 06:26:55","Yes","2015 Season Washington Monument","30","168","2015 Washington Monument","Historic Tour"
"2014-12-04 06:29:34","234641","2016-03-03 06:26:55","No","Overflow Tickets for the Standing Area","180","169","Overflow Tickets for the Standing Area","Historic Tour"
"2015-02-12 10:52:47","233362","2016-03-03 06:26:55","No","This 60-room site built on two ledges is one of the largest cliff dwellings in the park. Oak Tree House is a well preserved but fragile site that features plastered walls and varied architectural styles.<br><br>This tour is available from May 3rd, 2016 to May 28th, 2016 on Tuesdays and Saturdays and September 12th, 2016 to October 16th, 2016 on Mondays and Fridays. Meet the ranger for your hike at Sun Temple Overlook no later then 7:45 am. Hikers for Oak Tree House depart promptly at 8:00 am. Drive time from the park entrance is approximately one hour.","120","170","Oak Tree House","Cliff Dwelling Tour"
"2015-02-12 10:52:47","233362","2016-03-03 06:26:55","No","This short but strenuous hike leads to a stunning and surprisingly intimate cliff dwelling. Unusual aspects of this site include an original kiva roof and the Crows Nest, both features that cannot be seen from the viewpoint on the canyon rim. This tour is available May 3rd, 2015 to May 24th, 2015 on Sundays and Saturdays and September 10th, 2015 to October 18th, 2015 on Thursdays and Sundays.                                                                                                                                                                                                       ","120","171","Square Tower House","Cliff Dwelling Tour"
"2015-04-09 06:14:58","233266","2016-03-03 06:26:55","No","The Dripstone Trail Photo Tours allow for the use of time exposures, tripods, and other photo equipment. The tours provide time but not instruction for cave photography. There is no group rate for this tour.","240","172","Dripstone Trail Photo Tour","Cave Tour"
"2015-04-09 06:14:58","233266","2016-03-03 06:26:55","No","The Discovery Trail Photo Tours allow for the use of time exposures, tripods, and other photo equipment. The tours provide time but not instruction for cave photography. There is no group rate for this tour.","240","173","Discovery Trail Photo Tour","Cave Tour"
"2015-04-09 06:14:58","233362","2016-03-03 06:26:55","No","If you like both hiking and biking, this is the trip for you. This ranger-guided, 4.5 hour trek on the quieter side of Mesa Verde includes about 5 miles (8.1 km) of biking and 4 miles (6.4 km) of hiking. Expansive canyon views, spectacular overlooks of remote cliff dwellings, and a tour of magnificent Long House are all part of this adventure.<br><br>This tour is available from Wednesday, June 1st, 2016 to Sunday, September 4th, 2016 on Wednesdays and Sundays. It departs from the Wetherill Mesa parking lot. Meet the ranger at the picnic shelter by the restrooms at least 15 minutes advance. Total distance from the park entrance is 27 miles (43 km). Allow an hour and 15 minutes travel time from the park entrance. The group will leave promptly at 9:30 am.<br><br>Vehicles on this road are restricted to less than 8,000 pounds and 25-feet in length.","270","174","Wetherill Mesa Bike and Hike Adventure","Natural and Cultural Hike"
"2015-04-09 06:14:58","233373","2016-03-03 06:26:55","No","Explore what early travel was like in the forest in the historic Santiam River Area that once linked the Willamette Valley to eastern Oregon. The exact route will depend on snow conditions.  Conditions can be tough, no novices please.","480","175","Winter Snowshoe Hike on Santiam Pass ","Nature Tour"
"2015-04-09 06:14:58","233373","2016-03-03 06:26:55","No","Bring your art supplies and a sense of adventure to have an art filled experience in the great outdoors. ","480","176","Art in the Great Outdoors ","Nature Tour"
"2015-04-09 06:14:58","233373","2016-03-03 06:26:55","No","Learn skills on how to survive an outdoor emergency in Western Oregon. ","480","177","General Outdoor Preparedness","Nature Tour"
"2015-04-09 06:14:58","233373","2016-03-03 06:26:55","No","Hike through old growth Douglas-fir forest to subalpine meadows with great views of the Cascade peaks, with a side trip into Heart Lake.","480","178","Browder Ridge and Heart Lake ","Nature Tour"
"2015-05-21 06:25:00","251573","2016-03-03 06:26:55","Yes","A Guided Tour of Theodore Roosevelts Home provided park staff or a volunteer ","45","179","Guided Tour of Theodore Roosevelts Home","Historic Tour"
"2015-05-21 06:25:00","251573","2016-03-03 06:26:55","Yes","A Guided Tour of Theodore Roosevelts Home provided by park staff or a volunteer for commercial bus or other tour companies.","150","180","Commercial Group Tour of Theodore Roosevelts Home","Historic Tour"
"2015-05-21 06:25:00","251573","2015-06-25 05:19:22","Yes","A Guided Tour of Theodore Roosevelts Home provided by park staff or a volunteer","45","181","Education Tour of Theodore Roosevelts Home","Historic Tour"
"2015-06-25 05:19:22","251610","2016-03-03 06:26:55","No","Squeeze through the narrow twisting passages of the Oregon Caves. See glistening flowstone and weird hanging curtains of rock. Discover the complex geology of the Siskiyou Mountains from the inside-out. Learn about cave life and the fossils found within these marble halls. But above all, or should we say under all, come and have an adventure! ","120","182","Discovery Tour","Cave Tour"
"2015-06-25 05:19:22","251610","2016-03-03 06:26:55","No","On summer Fridays and Saturdays, the last tour of the day is conducted by candle light. This gives visitors (ages 12 and over) a chance to see what early explorers of the cave might have seen as they went from room to room with a candle.","45","183","Candlelight Cave Tour","Historic Tour"
"2015-06-25 05:19:22","251610","2016-03-03 06:26:55","No","Experience the wondrous, wild areas of Oregon Caves National Monument off trail! Trained guides will teach you caving techniques, cave etiquette, and bring you face-to-face with the marble structure of Oregon Caves. This three-hour experience through tight squeezes and crawls will challenge and exhilarate you! This is a very strenuous, adventurous experience. Scramble boulders, belly crawl, negotiate uneven rock piles, and squeeze yourself through confined cave passages as small as 11 inches by 19 inches. The only source of light is your caving headlamp!","180","184","Off-Trail Tour","Cave Tour"
"2015-09-03 03:29:30","234640","2016-03-03 06:26:55","No","Descend nearly 200 stairs at the Carmichael Entrance, pass the craggy breakdown of the Rocky Mountains and enter gypsum encrusted Cleveland Avenue. This tour showcases gypsum in various crystalline shapes and sizes. The beautifully elliptical Cleveland Avenue terminates in the Snowball Dinning Room, viewed by visitors since 1840s. Visitors retrace Cleveland Avenue, ascending nearly 200 stairs to the Carmichael Entrance. The entire route is seen on the Grand Avenue Tour. Restroom facilities and water fountains will be available in the Snowball Room. However, no food or beverages, other than water are permitted or provided.","150","185","Cleveland Avenue","Cave Tour"
"2015-09-10 07:29:04","251721","2016-03-03 06:26:55","Yes","This provides access to the Visitor Center","60","186","Visitor Center","Historic Tour"
"2015-09-10 07:29:04","251745","2016-03-03 06:26:55","Yes","Access to Rapidan Camp involves traveling on a Park-operated van on a seven-mile unpaved administrative road. For this reason, visitors must join a Ranger-guided program to travel to the site. A ranger guided tour of Rapidan Camp includes time inside both the Brown House and the Prime Ministers Cabin, as well as time exploring the grounds and gardens within the Historic Landmark. The shuttle ride is approximately 30 minutes each way. Total tour time (including travel) is 2.5 hours. Tours can be reserved up to a week in advance. Seating is limited, so early reservations are recommended. These popular programs do require some walking and standing on level ground during the tour. Many tours are accessible and can accommodate a wheelchair on the shuttle and at the site.","150","187","Accessible Wheelchair ONLY Tour","Historic Tour"
"2015-09-10 07:29:04","251745","2016-03-03 06:26:55","No","Access to Rapidan Camp involves traveling on a Park-operated van on a seven-mile unpaved administrative road. For this reason, visitors must join a Ranger-guided program to travel to the site. A ranger guided tour of Rapidan Camp includes time inside both the Brown House and the Prime Ministers Cabin, as well as time exploring the grounds and gardens within the Historic Landmark. The shuttle ride is approximately 30 minutes each way. Total tour time (including travel) is 2.5 hours. Tours can be reserved up to a week in advance. Seating is limited, so early reservations are recommended. These popular programs do require some walking and standing on level ground during the tour. Many tours are accessible and can accommodate a wheelchair on the shuttle and at the site.","150","188","Historic Rapidan Camp Tour","Historic Tour"
"2015-09-10 07:29:04","251573","2016-03-03 06:26:55","Yes","A Guided Tour of Theodore Roosevelts Home provided by park staff or a volunteer  for non-commercial educational groups from schools and other bona fide academic institutions.","150","189","Group Tour of Theodore Roosevelts Home for Educational Institutions","Historic Tour"
"2015-09-10 07:29:04","251721","2016-03-03 06:26:55","Yes","This provides access to the Memorial Plaza","45","190","Memorial Plaza","Historic Tour"
"2015-10-08 04:39:12","251610","2016-03-03 06:26:55","No","Looking for a Halloween haunt? Youll get goose-bumps on the Haunted Candlelight tour as you hear spooky stories of local history;walk amongst the bats and spiders, and discover the lesser known tales of these dark caverns.","60","191","Haunted Candlelight Tour","Cave Tour"
"2015-11-12 02:48:35","234635","2016-03-03 06:26:55","Yes","WALK-UP Washington Monument","30","192","WALK-UP Washington Monument","Historic Tour"
"2015-11-12 02:48:35","234635","2016-03-03 06:26:55","Yes","2016 Washington Monument","30","193","2016 Washington Monument","Historic Tour"
"2016-02-04 07:41:08","251853","2016-03-03 06:26:55","No",".","90","194","Grand Palace","Cave Tour"
"2016-02-04 07:41:08","251853","2016-03-03 06:26:55","Yes",".","30","195","First Room","Cave Tour"
"2016-02-04 07:41:08","251853","2016-03-03 06:26:55","No",".","60","196","Lodge Room","Cave Tour"
"2016-02-04 07:41:08","251853","2016-03-03 06:26:55","No","1st Room","0","197","Gothic Palace - Accessible","Combo Tour"
"2016-02-11 06:37:17","251898","2016-03-03 06:26:55","No","After passing through the spider web gate, your guide will give you a brief history of the Cave and point out unique features and formations. You will then be led from room to room on paved, lighted pathways, pausing to listen to the water and echoes in the Cave in total darkness.","50","198","Early Bird Tour","Cave Tour"
"2016-02-11 06:37:17","251898","2016-03-03 06:26:55","No","After passing through the spider web gate, your guide will give you a brief history of the Cave and point out unique features and formations. You will then be led from room to room on paved, lighted pathways, pausing to listen to the water and echoes in the Cave in total darkness.","50","199","Family Tour","Cave Tour"
"2016-02-11 06:37:17","251898","2016-03-03 06:26:55","No","On this tour, your child will learn about the world of cave exploration by participating in his/her own cave adventure! Young explorers will be provided with all the necessary gear- helmet, kneepads, light- before entering the Cave with two trained naturalists. The group will leave the paved trail, away from the tour lights, for a short trip to The Well that lies below the main level of Crystal Cave. Cavers must be in good physical condition, able to climb over large rocks and have no fear of small or enclosed spaces. Participants should expect to get dirty!","150","200","Junior Caver Tour","Cave Tour"
"2016-02-11 06:37:17","251898","2016-03-03 06:26:55","No","Get an in-depth experience of Crystal Caves geology and the interesting plants and animals living in and around the Cave. Participants meet their naturalist at the beginning of the trail and the group proceeds on their ecosystem exploration inside the Cave. The Cave portion of the tour is led by flashlight. Flashlights provided.","90","201","Discovery Tour","Cave Tour"
"2016-02-11 06:37:17","251898","2016-03-03 06:26:55","No","Explore off-trail, crawl, and climb through passageways, over steep drop-offs and past intricate formations on a belly-crawling tour. This tour gives you the opportunity to learn about Sierran caves first hand. Your cave guide will explain how the delicate formations such as soda straws, rimstone dams and cave pearls are formed. Experience total darkness and silence interrupted only by the rhythmic sounds of dripping and flowing water. Expect to come away with great memories, new knowledge and insight, intermingled with sore muscles and a thick coating of dirt from head to toe. All participants must be in good physical condition to participate.","270","202","Wild Cave Tour","Cave Tour"
"2016-02-11 06:37:17","251898","2016-03-03 06:26:55","No","Join our team of experienced cave naturalists for a day of spooky Halloween fun, inspired by Crystal Caves rich human history. The Cave has entertained and been loved by countless visitors since 1940. It even served as a winter home for a group of Civilian Conservation Corps workers, who were building trails inside. Of course, the Cave has hosted many explorers through the centuries, from Native peoples to National Park Service personnel. Do the spirits of these past visitors still linger and roam the Caves passageways? This tour will stop in beautiful cave rooms and along the way well meet the ghosts of Crystal Caves past.","90","203","Halloween Tour","Cave Tour"
